date,sales_diff
2020-02-01,0.0
2020-03-01,-1.0
2020-04-01,0.0
2020-05-01,4.0
2020-01-01,-33.0
2020-02-01,9.0
2020-03-01,-9.0
2020-04-01,1.0
2020-05-01,-1.0
2020-01-01,65.0
2020-02-01,4.0
2020-03-01,-2.0
2020-04-01,-4.0
2020-05-01,-2.0
2020-01-01,15.0
2020-02-01,1.0
2020-03-01,-2.0
2020-04-01,0.0
2020-05-01,10.0
2020-01-01,139.0
2020-02-01,-21.0
2020-03-01,71.0
2020-04-01,-76.0
2020-05-01,82.0
2020-01-01,-276.0
2020-02-01,14.0
2020-03-01,-15.0
2020-04-01,11.0
2020-05-01,-9.0
2020-01-01,27.0
2020-02-01,-4.0
2020-03-01,-8.0
2020-04-01,21.0
2020-05-01,-12.0
2020-01-01,-22.0
2020-02-01,-2.0
2020-03-01,11.0
2020-04-01,-3.0
2020-05-01,3.0
